,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
77,"New FortuneJob listing: 
Company: Apple 
Title: Senior Project Manager, Digital Commerce 

Apply below 
Find more jobs like this on FortuneJobs 
#Apple #Career #Jobs #FortuneJobs
 https://t.co/D5aoOLZRg4",new fortunejob listing company apple title senior project manager digital commerce apply below find more jobs like this on fortunejobs apple career jobs fortunejobs ,0.21212121212121213,0.3181818181818182,positive,0.0,0.892,0.108,0.4173,165,24
78,Thank you #Apple #Heartstrings !   Lead the way again.  It's been a while....... https://t.co/yKJPbkkj5J,thank you apple heartstrings lead the way again it been while ,0.0,0.0,positive,0.0,0.8,0.2,0.3612,62,11
79,Spotify Wrapped Is About More Than What Songs You Listen To It's About What Makes You You #Spotify #Wrapped #About #More #Than #What #Songs #Listen #It's #About #What #Makes #Apple #Samsung #Google #AI #Chat #GPT #Cyber #Security https://t.co/sjKyQJ1pmR https://t.co/ZdAgIr9zx6,spotify wrapped is about more than what songs you listen to it about what makes you you spotify wrapped about more than what songs listen it about what makes apple samsung google ai chat gpt cyber security ,0.5,0.5,positive,0.0,0.938,0.062,0.34,206,37
80,"I don’t know how you guys day trade or trade crypto at all without God I just can’t do it. I’m such a mess without him.

—————————————————-
#btc #bitcoin #crypto #AMC #gme #gamestop #alts #eth #shiba #dogecoin #NVIDIA #tesla #apple #Bullrun2025 #pepe #Memecoin2024 #MEMECOİNS #xrp… https://t.co/NPFBvC4BbY",i don know how you guys day trade or trade crypto at all without god just can do it m such mess without him btc bitcoin crypto amc gme gamestop alts eth shiba dogecoin nvidia tesla apple bullrun2025 pepe memecoin2024 memecoi ns xrp ,-0.0875,0.3375,negative,0.1,0.9,0.0,-0.5129,232,43
81,Youll NEVER catch me #emulating #virtualboy #apple #ios #emulation #pc #tech #Techtok #fyp #dyllie #gaming #retro #retroemulator https://t.co/x9QJsL7xgc,youll never catch me emulating virtualboy apple ios emulation pc tech techtok fyp dyllie gaming retro retroemulator ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,116,17
82,Are Your AirPods Disconnecting Randomly? Fix it Now! (How to Fix AirPods Keep Disconnecting Randomly) https://t.co/jEVWlVaLQ0… #AirPods #airpodsมือสอง #howto #tutorial #Apple #Bluetooth #iPhone #technology,are your airpods disconnecting randomly fix it now how to fix airpods keep disconnecting randomly airpods airpods howto tutorial apple bluetooth iphone technology,-0.5,0.5,neutral,0.0,1.0,0.0,0.0,162,23
83,"Curious about how Tim Cook redefined leadership at Apple? Dive into Leander Kahney’s book for an insightful journey!
  #Apple #LeadershipBooks #TechIndustry #BookLovers
https://t.co/PApYvsTu6K",curious about how tim cook redefined leadership at apple dive into leander kahney book for an insightful journey apple leadershipbooks techindustry booklovers ,-0.1,1.0,positive,0.0,0.901,0.099,0.3182,159,22
84,@jeremyjudkins_ This Tesla watch app is going to sell lots of Apple watches this quarter... #tesla #apple $TSLA $AAPL, this tesla watch app is going to sell lots of apple watches this quarter tesla apple tsla aapl,0.0,0.0,neutral,0.0,1.0,0.0,0.0,95,18
85,"#privacy #AI #AGI #ANDROID #APPLE #TechInnovation #MandelaEffect
#Robotics #bigbrother

Found faster &amp; privately with @Brave browser 🦇📈#BAT

https://t.co/sWaAmIj3Es", privacy ai agi android apple techinnovation mandelaeffect robotics bigbrother found faster amp privately with browser bat ,0.0,0.375,neutral,0.0,1.0,0.0,0.0,123,16
86,@thiassou_ imagine not having joanna #apple music gang., imagine not having joanna apple music gang ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,44,7
87,"ZFF #podcast Episode 012. Small things come in big packages. 
Streaming Weekly on #Apple #Spotify #Amazon #iheartradio #Youtube and 7 others #zffpodcast #health #fitnessaddict https://t.co/MR7lzHXa3W",zff podcast episode 012 small things come in big packages streaming weekly on apple spotify amazon iheartradio youtube and 7 others zffpodcast health fitnessaddict ,-0.125,0.25,positive,0.0,0.928,0.072,0.1779,164,24
88,"Agree tech companies #Amazon #Apple #Facebook etc have too much power and influence on countries and politics plus death of the high Street

#CEOs #RINO #Spotify #SpotifyWrapped #Spotifyまとめ2024 #FAUCI #Gmove #sstvi #Macron #maynata #MarisRacal #SB19

https://t.co/EuwWAHhZKL",agree tech companies amazon apple facebook etc have too much power and influence on countries and politics plus death of the high street ceos rino spotify spotifywrapped spotify 2024 fauci gmove sstvi macron maynata marisracal sb19 ,0.18,0.37,negative,0.095,0.803,0.102,-0.1779,232,36
89,"@Apple The Trillion Dollar Betrayal | The Truth About Your iPhone | Exploitative Innovation @Moconomy_tv 🫶🎥 #documentaries #economy #finance #Apple
Apple is the most valuable company in the world and has a role in our lives like no other. 
https://t.co/6kuNNAZGW8 via @YouTube https://t.co/yAk0ylEM9o", the trillion dollar betrayal the truth about your iphone exploitative innovation tv documentaries economy finance apple apple is the most valuable company in the world and has role in our lives like no other via ,0.08750000000000001,0.39166666666666666,positive,0.131,0.633,0.236,0.5849,213,35
90,"@SavingsCaptain I have both, but my ancient 
macbook pro is still working! about 15+ years and counting!

That graphics card tho 👀 🤣

Still get 2 hours+ on the OG battery 🤯 #AppleMusicReplay
#Apple #Macbookpro https://t.co/kuLfbLtBAz", have both but my ancient macbook pro is still working about 15 years and counting that graphics card tho still get 2 hours on the og battery applemusicreplay apple macbookpro ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,176,30
91,"#BhavanaPandey sneaks in a selfie with #Coldplay's #ChrisMartin at daughters Rysa and #Apple's Le Bal debut 

(via @htshowbiz) 

https://t.co/bRrDIigftl", bhavanapandey sneaks in selfie with coldplay chrismartin at daughters rysa and apple le bal debut via ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,103,16
92,⁦@OneRepublic⁩ for the win! #apple #replay’24 https://t.co/HhHzBwCMJw, for the win apple replay 24 ,0.8,0.4,positive,0.0,0.568,0.432,0.5859,29,6
93,🔥 Apple's new M4 iPad Pro is thinner than your pencil and more powerful than your laptop! Revolutionary OLED display + desktop-class performance = mind blown 🤯 Save up to 15% NOW! #Apple #iPadPro #TechNews https://t.co/J6m3MggzlB, apple new m4 ipad pro is thinner than your pencil and more powerful than your laptop revolutionary oled display desktop class performance mind blown save up to 15 now apple ipadpro technews ,0.3121212121212121,0.6515151515151515,positive,0.0,0.827,0.173,0.7425,191,32
94,"https://t.co/ReloTybvmQ AI was the obsession at AWS re:Invent this week. And if there were any doubts about the outsized ambitions of parent company https://t.co/xUSv4F4dBr Inc., those were dispelled. #ai #amazonwebservices #apple #aws #nvidia #reinvent https://t.co/6kkvMf9brb", ai was the obsession at aws re invent this week and if there were any doubts about the outsized ambitions of parent company inc those were dispelled ai amazonwebservices apple aws nvidia reinvent ,0.0,0.0,negative,0.129,0.871,0.0,-0.5574,197,33
95,2024’s music scene has crowned its champion on Spotify. Who took the top spot? 🎶 https://t.co/Wih9OMIiGp #Spotify #Apple Music #TaylorSwift #TopArtist,2024 music scene has crowned its champion on spotify who took the top spot spotify apple music taylorswift topartist,0.5,0.5,positive,0.0,0.749,0.251,0.6908,116,19
96,"#Apple’s Display-Equipped #HomePod Coming in Late 2025, Says Kuo https://t.co/g7biCHNAEQ https://t.co/CB0Xu1Hucb", apple display equipped homepod coming in late 2025 says kuo ,-0.3,0.6,neutral,0.0,1.0,0.0,0.0,61,10
97,"#Apple #iOS18 I found it confusing that Apple bundled Phone and Messages settings within all the other apps, I think better UX would be to have them have their own section.", apple ios18 found it confusing that apple bundled phone and messages settings within all the other apps think better ux would be to have them have their own section ,0.16875,0.56875,positive,0.06,0.849,0.091,0.25,166,29
98,"Apple's market cap soars to $3.67T, Tesla surges 40%, and inflation cools to 2.3%. Crypto hacks cost $1.5B. Salesforce shines in Q3 revenue. 🚀

Read today's full summary
https://t.co/bbhfjwPaRw

#AI #Economy #Apple #Tesla #Crypto",apple market cap soars to 3 67t tesla surges 40 and inflation cools to 2 3 crypto hacks cost 1 5b salesforce shines in q3 revenue read today full summary ai economy apple tesla crypto,0.35,0.55,neutral,0.0,1.0,0.0,0.0,183,35
99,Love my new iPhone icon layout courtesy of Ios 18 🥰👌📱 #Apple #Iphone #iOS18 https://t.co/lV3oZYaLNw,love my new iphone icon layout courtesy of ios 18 apple iphone ios18 ,0.3181818181818182,0.5272727272727272,positive,0.0,0.621,0.379,0.7717,69,13
